state,answer_set,who_vote_for,count,n_respondents,pct_of_respondents
0_ALL_STATES,all-surveys,Donald J. Trump,20254,40121,0.5048229106951472
0_ALL_STATES,all-surveys,Joe Biden,6954,40121,0.1733256897883901
0_ALL_STATES,all-surveys,Wouldn't vote,4610,40121,0.11490242017895864
0_ALL_STATES,all-surveys,Third-Party Candidate,4179,40121,0.10415991625333366
0_ALL_STATES,all-surveys,Don't know,3562,40121,0.08878143615562922
CA,all-surveys,Donald J. Trump,3066,7660,0.4002610966057441
NC,all-surveys,Donald J. Trump,2779,4982,0.5578081091930951
AZ,all-surveys,Donald J. Trump,2530,6058,0.41762958071970946
CA,all-surveys,Joe Biden,1883,7660,0.245822454308094
AZ,all-surveys,Joe Biden,1501,6058,0.24777154176295807
OH,all-surveys,Donald J. Trump,1211,2158,0.5611677479147359
WA,all-surveys,Donald J. Trump,1170,2166,0.5401662049861495
KY,all-surveys,Donald J. Trump,991,1668,0.5941247002398081
CA,all-surveys,Third-Party Candidate,980,7660,0.1279373368146214
CA,all-surveys,Wouldn't vote,820,7660,0.10704960835509138
CA,all-surveys,Don't know,815,7660,0.10639686684073107
NC,all-surveys,Joe Biden,770,4982,0.15455640305098353
AZ,all-surveys,Wouldn't vote,760,6058,0.12545394519643446
OK,all-surveys,Donald J. Trump,726,1553,0.46748229233741145
AR,all-surveys,Donald J. Trump,667,1189,0.5609756097560976
AZ,all-surveys,Third-Party Candidate,661,6058,0.10911191812479366
SC,all-surveys,Donald J. Trump,660,1146,0.5759162303664922
WV,all-surveys,Donald J. Trump,653,962,0.6787941787941788
PA,all-surveys,Donald J. Trump,536,920,0.5826086956521739
TX,all-surveys,Donald J. Trump,522,882,0.5918367346938775
NC,all-surveys,Don't know,515,4982,0.10337213970293055
AZ,all-surveys,Don't know,497,6058,0.08204027731924728
IL,all-surveys,Donald J. Trump,491,844,0.5817535545023697
NC,all-surveys,Wouldn't vote,474,4982,0.0951425130469691
AL,all-surveys,Donald J. Trump,408,771,0.5291828793774319
NC,all-surveys,Third-Party Candidate,365,4982,0.0732637494981935
NY,all-surveys,Donald J. Trump,349,626,0.5575079872204473
OR,all-surveys,Donald J. Trump,330,665,0.49624060150375937
NE,all-surveys,Donald J. Trump,326,710,0.4591549295774648
MI,all-surveys,Donald J. Trump,324,570,0.5684210526315789
MA,all-surveys,Donald J. Trump,305,565,0.5398230088495575
CO,all-surveys,Donald J. Trump,291,545,0.5339449541284403
WA,all-surveys,Third-Party Candidate,278,2166,0.1283471837488458
OH,all-surveys,Joe Biden,267,2158,0.123725671918443
WA,all-surveys,Joe Biden,263,2166,0.12142197599261312
WA,all-surveys,Wouldn't vote,260,2166,0.12003693444136658
GA,all-surveys,Donald J. Trump,257,414,0.6207729468599034
OK,all-surveys,Joe Biden,253,1553,0.16291049581455247
OH,all-surveys,Wouldn't vote,252,2158,0.11677479147358666
VA,all-surveys,Donald J. Trump,248,431,0.5754060324825986
OK,all-surveys,Wouldn't vote,229,1553,0.14745653573728268
OH,all-surveys,Third-Party Candidate,222,2158,0.10287303058387395
SD,all-surveys,Donald J. Trump,222,531,0.4180790960451977
KY,all-surveys,Joe Biden,204,1668,0.1223021582733813
MT,all-surveys,Donald J. Trump,198,311,0.6366559485530546
OK,all-surveys,Third-Party Candidate,188,1553,0.1210560206052801
KY,all-surveys,Third-Party Candidate,182,1668,0.1091127098321343
KY,all-surveys,Wouldn't vote,181,1668,0.10851318944844125
OH,all-surveys,Don't know,177,2158,0.08202038924930491
AR,all-surveys,Joe Biden,169,1189,0.1421362489486964
WA,all-surveys,Don't know,160,2166,0.07386888273314866
FL,all-surveys,Donald J. Trump,155,244,0.6352459016393442
SC,all-surveys,Joe Biden,149,1146,0.1300174520069808
OK,all-surveys,Don't know,144,1553,0.0927237604636188
PA,all-surveys,Wouldn't vote,130,920,0.14130434782608695
AR,all-surveys,Third-Party Candidate,127,1189,0.10681244743481917
AR,all-surveys,Wouldn't vote,121,1189,0.10176619007569386
NJ,all-surveys,Donald J. Trump,116,214,0.5420560747663551
ME,all-surveys,Donald J. Trump,115,201,0.572139303482587
SC,all-surveys,Don't know,113,1146,0.09860383944153578
SC,all-surveys,Wouldn't vote,113,1146,0.09860383944153578
PA,all-surveys,Joe Biden,112,920,0.12173913043478261
TX,all-surveys,Joe Biden,112,882,0.12698412698412698
NE,all-surveys,Joe Biden,109,710,0.15352112676056337
NE,all-surveys,Wouldn't vote,109,710,0.15352112676056337
TX,all-surveys,Wouldn't vote,108,882,0.12244897959183673
IL,all-surveys,Joe Biden,106,844,0.12559241706161137
UT,all-surveys,Donald J. Trump,105,174,0.603448275862069
AL,all-surveys,Joe Biden,103,771,0.13359273670557717
OR,all-surveys,Third-Party Candidate,103,665,0.1548872180451128
IL,all-surveys,Don't know,102,844,0.12085308056872038
KY,all-surveys,Don't know,101,1668,0.0605515587529976
MA,all-surveys,Joe Biden,101,565,0.17876106194690267
OR,all-surveys,Joe Biden,100,665,0.15037593984962405
SC,all-surveys,Third-Party Candidate,98,1146,0.08551483420593368
WV,all-surveys,Wouldn't vote,97,962,0.10083160083160084
NH,all-surveys,Donald J. Trump,93,168,0.5535714285714286
SD,all-surveys,Joe Biden,92,531,0.17325800376647835
AL,all-surveys,Third-Party Candidate,91,771,0.11802853437094682
AR,all-surveys,Don't know,90,1189,0.07569386038687972
NE,all-surveys,Third-Party Candidate,90,710,0.1267605633802817
NY,all-surveys,Joe Biden,89,626,0.14217252396166133
SD,all-surveys,Wouldn't vote,88,531,0.1657250470809793
MO,all-surveys,Donald J. Trump,87,159,0.5471698113207547
NM,all-surveys,Donald J. Trump,87,174,0.5
0_ALL_STATES,all-surveys,"Don't know, Donald J. Trump",84,40121,0.0020936666583584655
MI,all-surveys,Joe Biden,82,570,0.14385964912280702
OR,all-surveys,Wouldn't vote,82,665,0.12330827067669173
AL,all-surveys,Wouldn't vote,78,771,0.10116731517509728
NY,all-surveys,Wouldn't vote,78,626,0.12460063897763578
AL,all-surveys,Don't know,76,771,0.09857328145265888
0_ALL_STATES,all-surveys,"Donald J. Trump, Wouldn't vote",75,40121,0.0018693452306772014
TX,all-surveys,Don't know,75,882,0.08503401360544217
WV,all-surveys,Third-Party Candidate,74,962,0.07692307692307693
PA,all-surveys,Third-Party Candidate,73,920,0.07934782608695652
CO,all-surveys,Wouldn't vote,72,545,0.13211009174311927
IN,all-surveys,Donald J. Trump,71,119,0.5966386554621849
WV,all-surveys,Joe Biden,71,962,0.07380457380457381
IL,all-surveys,Wouldn't vote,70,844,0.08293838862559241
0_ALL_STATES,all-surveys,"Don't know, Wouldn't vote",68,40121,0.0016948730091473293
MA,all-surveys,Wouldn't vote,68,565,0.12035398230088495
NE,all-surveys,Don't know,67,710,0.09436619718309859
0_ALL_STATES,all-surveys,"Donald J. Trump, Joe Biden",66,40121,0.0016450238029959373
CO,all-surveys,Joe Biden,65,545,0.11926605504587157
SD,all-surveys,Third-Party Candidate,64,531,0.12052730696798493
0_ALL_STATES,all-surveys,"Donald J. Trump, Third-Party Candidate",59,40121,0.0014705515814660652
MI,all-surveys,Wouldn't vote,59,570,0.10350877192982456
PA,all-surveys,Don't know,59,920,0.0641304347826087
CO,all-surveys,Third-Party Candidate,58,545,0.10642201834862386
IL,all-surveys,Third-Party Candidate,58,844,0.06872037914691943
CO,all-surveys,Don't know,57,545,0.10458715596330276
GA,all-surveys,Wouldn't vote,56,414,0.13526570048309178
TX,all-surveys,Third-Party Candidate,55,882,0.06235827664399093
NY,all-surveys,Don't know,54,626,0.08626198083067092
VA,all-surveys,Wouldn't vote,54,431,0.12529002320185614
0_ALL_STATES,all-surveys,"Don't know, Joe Biden",52,40121,0.001296079359936193
WV,all-surveys,Don't know,52,962,0.05405405405405406
MI,all-surveys,Third-Party Candidate,51,570,0.08947368421052632
NY,all-surveys,Third-Party Candidate,51,626,0.08146964856230032
OR,all-surveys,Don't know,49,665,0.07368421052631578
GA,all-surveys,Joe Biden,47,414,0.11352657004830918
